Date,Name,locations,Founded,Employees,Skill,About,Link
2024-Feb-27,HCL Technologies - Python Developer,,Founded in 1976 , More than 1000 employees,"Python, Django, Flask","As a $7.4 billion global company, HCL brings IT and engineering services expertise under one roof to solve complex business problems for the industries like financial services, manufacturing, healthcare, etc.",https://www.instahyre.com/job-304641-python-developer-at-hcl-technologies-mumbai/
2024-Feb-27,HealthFlex - Full - Stack Developer,"Bangalore, Hyderabad, Pune",Founded in 2023 , 0 - 10 employees,"Python, React.js, JavaScript, Node B, AWS",HealthFlex is a AI-enabled wellness platform that helps improve patient outcomes by assessing and diagnosing clinical condition of individuals and providing personalized connected-care programmes.,https://www.instahyre.com/job-304725-full-stack-developer-at-healthflex-bangalore/
2024-Feb-27,HealthFlex - SDE 1 - Full Stack Developer,,Founded in 2023 , 0 - 10 employees,"Python, JavaScript, React.js, Angular, Node.js",HealthFlex is a AI-enabled wellness platform that helps improve patient outcomes by assessing and diagnosing clinical condition of individuals and providing personalized connected-care programmes.,https://www.instahyre.com/job-304704-sde-1-full-stack-developer-at-healthflex-bangalore/
2024-Feb-27,Hevo Data - Senior Engineering Manager - Backend,"Bangalore, Hyderabad, Pune",Founded in 2017 , 200 - 500 employees,"Python, Java, Engineering Management, Cloud Computing","Based in San Francisco, Hevo is a data integration platform that helps companies in moving data from one source to another. Connects to the source and using the transformation code transfers data to the warehouse.",https://www.instahyre.com/job-304708-senior-engineering-manager-backend-at-hevo-data-bangalore/
2024-Feb-27,Luxoft - Software Engineer,,Founded in 2000 , More than 1000 employees,"Python, R, SQL","Luxoft is a leading provider of software development services that offer solutions for its clients using the latest technologies, such as AI, Blockchain, machine learning, and big data, etc.",https://www.instahyre.com/job-304721-software-engineer-at-luxoft-2-bangalore-chennai-gurgaon/
2024-Feb-27,nference - Full - Stack Developer,"Bangalore, Hyderabad",Founded in 2013 , 200 - 500 employees,"Python, Node.js, React.js, AWS, Express.js",nference is an AI-powered firm that partners with medical centers to turn electronic medical records into software solutions while making biomedical knowledge computable for solving healthcare problems.,https://www.instahyre.com/job-304724-full-stack-developer-at-nference-2-bangalore/
2024-Feb-27,PriceLabs - Data Scientist,,Founded in 2014 , 10 - 50 employees,"Python, Machine Learning, Time Series Analysis, SQL, +1","PriceLabs is an innovative & easy to use revenue management tool for vacation & short term rental industry providing a data-driven approach, automation rules & customizations to manage pricing & stay restrictions.",https://www.instahyre.com/job-304696-data-scientist-at-pricelabs-work-from-home/
2024-Feb-27,RMS Tech Solutions - Python Developer,Mumbai,Founded in 2019 , 0 - 10 employees,"Python, Django, JavaScript, SQL, Linux","RMS Tech is a telecom service provider whose product offerings include internet leased lines, toll-free numbers, call center dialers, and more targeted to all kinds of enterprises, organizations, and institutions.",https://www.instahyre.com/job-304613-python-developer-at-rms-tech-solutions-bangalore/
2024-Feb-27,StrategicERP - Python Developer (AI Automation),,Founded in 2005 , 200 - 500 employees,"Python, TensorFlow, PyTorch, Scikit-learn","StrategicERP is a software company developing custom ERP solutions, process automation and information management systems for 700+ clients across real estate, construction, and infrastructure industries.",https://www.instahyre.com/job-304649-python-developer-ai-automation-at-strategicerp-mumbai/
2024-Feb-27,StrategicERP - Python Developer (Non AI Automation),Bangalore,Founded in 2005 , 200 - 500 employees,"Python, CI - CD, Ansible, Puppet","StrategicERP is a software company developing custom ERP solutions, process automation and information management systems for 700+ clients across real estate, construction, and infrastructure industries.",https://www.instahyre.com/job-304654-python-developer-non-ai-automation-at-strategicerp-mumbai/
2024-Feb-27,Tessell - Software Engineer,,Founded in 2021 , 10 - 50 employees,"Python, Oracle Database, Data Structures, Algorithms, PL-SQL",Tessell is a software development and DBaaS platform that leverages technology to deploy and modernize cloud databases to take care of data infrastructure and data management needs of industries.,https://www.instahyre.com/job-304591-software-engineer-at-tessell-2-bangalore/
2024-Feb-27,Truminds Software Systems - Automation Engineer,Bangalore,Founded in 2017 , 200 - 500 employees,"Python, Automation Testing, Jira, Jenkins, Git","Truminds is a product engineering company offering expertise in next generation technologies like 5G, Internet of things, Industrial Automation, Media, Artificial Intelligence/Machine Learning and Analytics.",https://www.instahyre.com/job-304701-automation-engineer-at-truminds-software-systems-hyderabad/
2024-Feb-27,UnifyX - Founding Engineer,,Founded in 2023 , 0 - 10 employees,Python,"UnifyX is a software development company facilitating SaaS companies in seamless 100+ pre-built integrations of HR tools using the Unified API saving time and bandwidth, particularly in B2B integrations.",https://www.instahyre.com/job-304635-founding-engineer-at-unifyx-bangalore/
2024-Feb-27,Accolite Digital - Python Developer,Bangalore,Founded in 2000 , More than 1000 employees,"Python, RStudio, AWS, DevOps, MATLAB","Accolite Digital provides cloud and digital product engineering services to help clients overcome digital challenges and achieve their goals. It caters to the banks, technology, healthcare, and media sectors.",https://www.instahyre.com/job-304517-python-developer-at-accolite-digital-bangalore/
2024-Feb-27,AiDash - SDET / Staff QA (Testing),,Founded in 2019 , 200 - 500 employees,"Python, Automation Testing, Performance Testing, SDET, +5","AiDash Saas platform enables asset management and operations in industries with geographically distributed assets with an AI-first approach using multispectral imagery, and SAR data from satellite constellations.",https://www.instahyre.com/job-304458-sdet-staff-qa-testing-at-aidash-bangalore/
2024-Feb-27,Airtel X Labs - Python Developer,Bangalore,Founded in 2018 , 200 - 500 employees,"Python, Django, Flask",airtel X Labs is an Internet-based firm that leverages the scale of Airtel telecommunications to build digital solutions and create customer experiences.,https://www.instahyre.com/job-304450-python-developer-at-airtel-x-labs-gurgaon/
2024-Feb-27,Blackstraw.ai - Lead Data Scientist,,Founded in 2018 , 10 - 50 employees,"Python, Machine Learning, Predictive Analytics, TensorFlow, +1","Blackstraw.ai is an IT & Services company that provides services related to real-world AI implementations, specializing in predictive analytics, data science, deep learning, etc.",https://www.instahyre.com/job-304482-lead-data-scientist-at-blackstraw-chennai/
2024-Feb-27,Blackstraw.ai - Lead Data Scientist,Gurgaon,Founded in 2018 , 10 - 50 employees,"Python, Machine Learning, Azure","Blackstraw.ai is an IT & Services company that provides services related to real-world AI implementations, specializing in predictive analytics, data science, deep learning, etc.",https://www.instahyre.com/job-304546-lead-data-scientist-at-blackstraw-chennai/
2024-Feb-27,CS Soft Solutions - Data Architecture Lead,,Founded in 2009 , 200 - 500 employees,"Python, ETL, Data Warehousing, Data Visualization, Power BI","CS Soft Solutions is an IT service company that caters to designing, web development, custom software development, digital marketing, and mobile application development needs of SMEs and startups.",https://www.instahyre.com/job-304451-data-architecture-lead-at-cs-soft-solutions-mumbai/
2024-Feb-27,Flipkart - Software Development Engineer Test,Chennai,Founded in 2007 , More than 1000 employees,"Python, Automation Testing, Manual Testing, +5","India's leading e-commerce company. Founded in 2007 by IIT graduates, Flipkart is currently valued at over $15 billion and has raised over $3 billion in funding. Acquired fashion site Myntra in 2014.",https://www.instahyre.com/job-304558-software-development-engineer-test-at-flipkart-bangalore/
